Transaction Date,Description,Amount
06/21/2019,AUTOMATIC PAYMENT - THANK YOU,-2156.58
05/24/2019,COSTCO WHSE #0326 PORT CHESTER NY,11.32
05/25/2019,COSTCO WHSE #0326 PORT CHESTER NY,.63
05/25/2019,MCDONALD'S F748 GREENWICH CT,5.32
05/26/2019,COSTCO WHSE #0326 PORT CHESTER NY,5.89
05/25/2019,MCDONALD'S F748 GREENWICH CT,3.39
05/27/2019,TANDORI TASTE OF INDIA WHITE PLAINS NY,47.23
05/27/2019,DUNKIN' MOBILE AP 800-447-0013 MA,10.00
05/27/2019,TMOBILE POSTPAID WEB 800-937-8997 WA,195.46
05/27/2019,TRADER JOE'S #533  QPS HARTSDALE NY,24.13
05/28/2019,4036 Dominos Pizza 203-661-2202 CT,12.74
05/29/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
05/31/2019,MCDONALD'S F748 GREENWICH CT,3.39
06/01/2019,COSTCO WHSE #0326 PORT CHESTER NY,11.32
05/31/2019,MINAR RESTAURANT NEW YORK NY,10.35
05/31/2019,MCDONALD'S F748 GREENWICH CT,5.32
05/30/2019,4036 Dominos Pizza 203-661-2202 CT,12.74
06/02/2019,GYRO GYRO HARTSDALE NY,9.61
06/02/2019,GYRO GYRO HARTSDALE NY,23.03
06/02/2019,MCDONALD'S F748 GREENWICH CT,6.26
06/02/2019,THE HOME DEPOT 1212 PORT CHESTER NY,9.63
06/02/2019,THE HOME DEPOT 1212 PORT CHESTER NY,9.09
06/02/2019,H MART HARTSDALE HARTSDALE NY,11.93
06/03/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/03/2019,CAFE 1585     18209155 NEW YORK NY,9.86
06/04/2019,MTA*MNR ETIX TICKET 877-690-5116 NY,41.00
06/05/2019,4036 Dominos Pizza 203-661-2202 CT,12.74
06/07/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/08/2019,MCDONALD'S F748 GREENWICH CT,9.44
06/08/2019,WAL-MART #3547 NORWALK CT,20.04
06/08/2019,AMERICAN STEAKHOUSE - NORWALK CT,29.76
06/08/2019,THE HOME DEPOT 6204 NORWALK CT,3.92
06/09/2019,DUNKIN' MOBILE AP 800-447-0013 MA,25.00
06/09/2019,SHOPRITE CMMERCE ST S1 STAMFORD CT,13.98
06/09/2019,COSTCO WHSE #0326 PORT CHESTER NY,21.42
06/09/2019,THE HOME DEPOT 1212 PORT CHESTER NY,10.71
06/09/2019,H MART HARTSDALE HARTSDALE NY,7.94
06/09/2019,MCDONALD'S F3240 PORT CHESTER NY,6.11
06/10/2019,CAFE 1585     18209155 NEW YORK NY,9.68
06/11/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/11/2019,CAFE 1585     18209155 NEW YORK NY,9.68
06/13/2019,CT NATURAL GAS 860-524-8361 CT,50.87
06/13/2019,4036 Dominos Pizza 203-661-2202 CT,8.50
06/14/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/15/2019,AMERICAN STEAKHOUSE - NORWALK CT,29.76
06/16/2019,GYRO GYRO HARTSDALE NY,32.85
06/15/2019,REI #135 NORWALK NORWALK CT,22.23
06/16/2019,3603 Dominos Pizza 914-967-5070 NY,8.58
06/19/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/22/2019,USPS PO 0830600830 GREENWICH CT,33.60
06/22/2019,COSTCO WHSE #0324 NORWALK CT,.63
06/21/2019,OPTUMRX 800-562-6223 CA,20.00
06/22/2019,MCDONALD'S F748 GREENWICH CT,3.18
06/22/2019,AMERICAN STEAKHOUSE - NORWALK CT,29.76
06/21/2019,MISTI CAFE PORT CHESTER NY,27.63
06/23/2019,GYROWORLD FLUSHING NY,57.97
06/22/2019,DANNY'S CYCLES RYE BROOK NY,154.63
06/25/2019,AMZN Mktp US*M693I19Q0 Amzn.com/bill WA,37.40
02/12/2023,UA.COM*888-727-6687 MD BALTIMORE MD,-27.09
02/27/2023,AUTOMATIC PAYMENT - THANK YOU,-3230.25
02/02/2023,UA.COM*888-727-6687 MD underarmour.c MD,27.09
02/04/2023,GEICO  *AUTO 800-841-3000 DC,481.60
02/06/2023,USPS PO 0834120830 GREENWICH CT,75.55
02/08/2023,MTA*MNR ETIX TICKET 877-690-5116 NY,27.50
02/13/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA,21.27
02/13/2023,CT NATURAL GAS 860-524-8361 CT,290.56
02/18/2023,MACYS  COLONIE CENTER ALBANY NY,101.60
02/17/2023,TOYOTA OF GREENWICH COS COB CT,75.80
02/18/2023,KARAVALLI REG.CUISINE OF LATHAM NY,42.62
02/18/2023,ANCRAM CITGO ANCRAM NY,2.26
02/23/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,9.68
02/25/2023,KOHL'S #0397 PORT CHESTER NY,41.75
02/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,268.64
02/26/2023,TRADER JOE S #533 HARTSDALE NY,27.39
02/27/2023,PHR*GandelmanCardiologyAs 203-8695515 CT,50.00
07/13/2023,AUTOMATIC PAYMENT - THANK YOU,-144.88
06/20/2023,E-Z*PASSNY REBILL 800-333-8655 NY,25.00
06/21/2023,E-Z*PASSNY REBILL 800-333-8655 NY,25.00
07/04/2023,E-Z*PASSNY REBILL 800-333-8655 NY,25.00
12/08/2018,COSTCO WHSE #0326 PORT CHESTER NY,-751.61
12/13/2018,AUTOMATIC PAYMENT - THANK YOU,-900.75
11/19/2018,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
07/13/2018,AUTOMATIC PAYMENT - THANK YOU,-314.93
06/16/2018,TRADER JOE'S #533  QPS HARTSDALE NY,47.49
06/16/2018,H MART HARTSDALE HARTSDALE NY,95.60
06/24/2018,H MART HARTSDALE HARTSDALE NY,48.09
06/24/2018,TRADER JOE'S #533  QPS HARTSDALE NY,17.70
06/27/2018,TRADER JOE'S #533  QPS HARTSDALE NY,41.18
06/27/2018,H MART HARTSDALE HARTSDALE NY,20.61
07/05/2018,USCIS ELIS2PR1 I-90 800-375-5283 DC,540.00
07/11/2018,VERIZON*RECURRING PAY 800-VERIZON FL,73.95
06/24/2022,GEICO  *AUTO 800-841-3000 DC,-2.97
06/27/2022,AUTOMATIC PAYMENT - THANK YOU,-893.42
06/03/2022,UBER   TRIP HELP.UBER.COM CA,8.87
06/04/2022,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75
06/04/2022,AMERICAN STEAKHOUSE - NORWALK CT,51.50
06/12/2022,DUNKIN #302601 Q35 GREENWICH CT,2.41
06/14/2022,WESTCHESTER AVE DENTAL PORT CHESTER NY,3316.00
06/14/2022,CVS/PHARMACY #01280 GREENWICH CT,25.45
06/17/2022,WESTCHESTER AVE DENTAL PORT CHESTER NY,11.00
06/24/2022,AGI*RENTERS/CONDO INS 800-370-1990 FL,165.00
06/25/2022,MCDONALD'S F3240 PORT CHESTER NY,1.08
06/24/2022,UBER   TRIP HELP.UBER.COM CA,8.73
06/25/2022,CVS/PHARMACY #01280 GREENWICH CT,39.07
06/25/2022,MTA*MNR ETIX TICKET 877-690-5116 NY,9.75
06/25/2022,MCDONALD'S F3240 PORT CHESTER NY,5.62
06/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,196.07
04/13/2020,AUTOMATIC PAYMENT - THANK YOU,-243.90
03/26/2020,TMOBILE*AUTO PAY 800-937-8997 WA,184.90
08/09/2020,SHOPRITE CMMERCE ST S1 STAMFORD CT,-7.66
08/15/2020,COSTCO WHSE #0326 PORT CHESTER NY,-108.36
08/21/2020,AUTOMATIC PAYMENT - THANK YOU,-37.70
07/23/2020,MCDONALD'S F748 GREENWICH CT,1.07
07/23/2020,MCDONALD'S F748 GREENWICH CT,5.84
07/26/2020,H MART - HARTSDALE HARTSDALE NY,75.98
07/26/2020,TRADER JOE'S #533  QPS HARTSDALE NY,39.18
08/01/2020,SHOPRITE CMMERCE ST S1 STAMFORD CT,103.28
08/01/2020,MCDONALD'S F3345 RIVERSIDE CT,5.46
08/01/2020,MCDONALD'S F3345 RIVERSIDE CT,1.07
08/03/2020,PAYPAL *GREENWICHAL 402-935-7733 CT,400.00
08/05/2020,SHOPRITE CMMERCE ST S1 STAMFORD CT,4.98
08/06/2020,COSTCO WHSE #0326 PORT CHESTER NY,108.36
08/08/2020,MCDONALD'S F748 GREENWICH CT,1.07
08/09/2020,SHOPRITE CMMERCE ST S1 STAMFORD CT,14.91
08/08/2020,MCDONALD'S F748 GREENWICH CT,5.57
08/09/2020,SHOPRITE CMMERCE ST S1 STAMFORD CT,72.40
08/12/2020,PAYPAL *HEARTLAND 402-935-7733 CA,109.78
08/13/2020,CT NATURAL GAS 860-524-8361 CT,38.01
08/15/2020,MCDONALD'S F3345 RIVERSIDE CT,5.46
08/16/2020,TRADER JOE'S #533  QPS HARTSDALE NY,52.63
08/16/2020,MCDONALD'S F748 GREENWICH CT,5.57
08/16/2020,MCDONALD'S F748 GREENWICH CT,1.07
08/22/2020,MCDONALD'S F748 GREENWICH CT,1.07
08/23/2020,AMZN Mktp US*MM5Y597Q1 Amzn.com/bill WA,74.43
04/27/2022,AUTOMATIC PAYMENT - THANK YOU,-347.58
04/16/2022,ENCHANTED SZECHUAN NORWALK CT,60.44
04/21/2022,KITCHEN PARADISE NEW YORK NY,10.35
04/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,163.04
05/13/2019,AUTOMATIC PAYMENT - THANK YOU,-50.00
04/24/2019,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
08/27/2023,AUTOMATIC PAYMENT - THANK YOU,-5844.29
08/06/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,30.18
08/07/2023,GEICO  *AUTO 800-841-3000 DC,588.13
08/08/2023,OPENAI OPENAI.COM CA,.65
08/08/2023,SQ *TERIYAKI ONE New York NY,10.77
08/10/2023,SQ *JAMROCK JERK New York NY,17.42
08/10/2023,ZIP.CO* NEWEGG 164-68139492 NY,123.16
08/13/2023,CHATGPT SUBSCRIPTION OPENAI.COM CA,21.27
08/15/2023,SQ *TERIYAKI ONE New York NY,10.77
08/16/2023,CVS/PHARMACY #01280 GREENWICH CT,75.72
08/17/2023,SQ *JAMROCK JERK gosq.com NY,17.42
08/20/2023,KARAVALLI LATHAM NY,43.21
08/20/2023,McDonalds 748 120-3302329 CT,5.89
08/20/2023,MTA*MNR ETIX TICKET 877-690-5116 NY,220.00
08/24/2023,ZIP.CO* NEWEGG 164-68139492 NY,123.17
08/24/2023,SQ *TERIYAKI ONE New York NY,10.77
08/26/2023,TMOBILE*AUTO PAY 800-937-8997 WA,266.57
08/25/2023,5GUYS 1476 QSR STAMFORD CT,31.31
08/25/2023,TRADER JOE S #529 STAMFORD CT,39.14
08/27/2023,SHOPRITE CMMERCE ST S1 STAMFORD CT,46.65
08/29/2023,SQ *TERIYAKI ONE New York NY,10.77
03/22/2021,AUTOMATIC PAYMENT - THANK YOU,-485.55
02/27/2021,MCDONALD'S F748 GREENWICH CT,5.57
02/27/2021,MCDONALD'S F748 GREENWICH CT,1.07
03/06/2021,MCDONALD'S F748 GREENWICH CT,1.07
03/06/2021,H MART - HARTSDALE HARTSDALE NY,76.83
03/06/2021,MCDONALD'S F748 GREENWICH CT,5.57
03/06/2021,TRADER JOE'S #533  QPS HARTSDALE NY,22.13
03/11/2021,TOYOTA OF GREENWICH COS COB CT,79.77
03/13/2021,MCDONALD'S F748 GREENWICH CT,1.07
03/13/2021,MCDONALD'S F748 GREENWICH CT,1.28
03/13/2021,MCDONALD'S F748 GREENWICH CT,5.57
03/20/2021,MCDONALD'S F748 GREENWICH CT,1.07
03/20/2021,MCDONALD'S F748 GREENWICH CT,5.57
09/22/2020,AUTOMATIC PAYMENT - THANK YOU,-1127.19
08/27/2020,& PAYPAL *BODY SHOP 402-935-7733 NC,37.23
08/30/2020,& H MART - HARTSDALE HARTSDALE NY,111.19
08/30/2020,& TRADER JOE'S #533  QPS HARTSDALE NY,65.13
09/03/2020,& SHOPRITE CMMERCE ST S1 STAMFORD CT,116.92
09/04/2020,& MCDONALD'S F748 GREENWICH CT,1.07
09/04/2020,& H MART - HARTSDALE HARTSDALE NY,47.84
09/04/2020,& MCDONALD'S F748 GREENWICH CT,2.03
09/04/2020,& MCDONALD'S F748 GREENWICH CT,5.57
09/12/2020,& H MART - HARTSDALE HARTSDALE NY,125.22
09/12/2020,& MCDONALD'S F2304 HARTSDALE NY,1.07
09/12/2020,& MCDONALD'S F748 GREENWICH CT,1.07
09/12/2020,& MCDONALD'S F748 GREENWICH CT,5.57
09/14/2020,& CT NATURAL GAS 860-524-8361 CT,36.97
09/19/2020,MCDONALD'S F3345 RIVERSIDE CT,1.07
09/20/2020,MCDONALD'S F748 GREENWICH CT,1.06
07/03/2018,Payment Thank You - Web,-7959.55
06/25/2018,JEUNESSE GLOBAL 321-2757200 FL,525.90
06/27/2018,MCDONALD'S F748 GREENWICH CT,5.41
06/27/2018,WESTCHESTER AVE DENTAL PORT CHESTER NY,44.00
06/27/2018,RED LOBSTER 0351 SCARSDALE NY,58.44
06/30/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,41.00
06/29/2018,LOWES #00907* 866-483-7521 NC,9.02
06/30/2018,WALGREENS #7485 PORT CHESTER NY,5.88
06/29/2018,LOWES #00907* 866-483-7521 NC,9.02
07/02/2018,MCDONALD'S F6971 NEW YORK NY,1.09
07/04/2018,H MART HARTSDALE HARTSDALE NY,27.84
07/03/2018,Jeunesse 321-2757171 FL,1864.57
07/03/2018,YUM YUM TOO NEW YORK NY,22.99
07/04/2018,RED LOBSTER 0351 SCARSDALE NY,79.68
07/05/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,30.99
07/06/2018,MCDONALD'S F6971 NEW YORK NY,1.09
07/05/2018,Yellowtail Hibachi & Sush STAMFORD CT,29.51
07/07/2018,H MART HARTSDALE HARTSDALE NY,22.05
07/08/2018,FANTASY CUISINE CO 914-358-9046 NY,58.30
07/07/2018,TRADER JOE'S #533  QPS HARTSDALE NY,17.74
07/07/2018,MCDONALD'S F748 GREENWICH CT,3.82
07/08/2018,AMERICAN STEAKHOUSE - NORWALK CT,44.64
07/09/2018,VESTA  *AT&T 866-608-3007 OR,43.11
07/10/2018,MCDONALD'S F6971 NEW YORK NY,1.09
07/12/2018,YUM YUM TOO NEW YORK NY,23.49
07/14/2018,KOHL'S #0397 PORT CHESTER NY,31.53
07/12/2018,MCDONALD'S F18884 NEW YORK NY,1.09
07/13/2018,MCDONALD'S F3345 RIVERSIDE CT,1.06
07/13/2018,MCDONALD'S F3345 RIVERSIDE CT,1.06
07/13/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,34.13
07/14/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/15/2018,H MART HARTSDALE HARTSDALE NY,45.57
07/15/2018,GYU-KAKU RESTAURANT WHITE PLAINS NY,55.61
07/13/2018,Yellowtail Hibachi & Sush STAMFORD CT,44.26
07/15/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/14/2018,JEUNESSE GLOBAL 321-2757200 FL,1885.91
07/15/2018,TRADER JOE'S #533  QPS HARTSDALE NY,24.91
07/18/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,12.25
07/17/2018,MCDONALD'S F6971 NEW YORK NY,1.09
07/18/2018,MCDONALD'S F7552 NEW YORK NY,1.09
07/20/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/21/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/20/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/22/2018,CENTRAL SEAFOOD HARTSDALE NY,36.50
07/21/2018,MCDONALD'S F3240 PORT CHESTER NY,1.07
07/21/2018,MCDONALD'S F3240 PORT CHESTER NY,1.07
07/22/2018,TRADER JOE'S #533  QPS HARTSDALE NY,24.66
07/22/2018,H MART HARTSDALE HARTSDALE NY,48.78
07/22/2018,MCDONALD'S F748 GREENWICH CT,1.06
07/23/2018,MCDONALD'S F6971 NEW YORK NY,1.09
01/17/2021,Amazon Prime Amzn.com/bill WA,-12.99
02/12/2021,AUTOMATIC PAYMENT - THANK YOU,-166.01
01/16/2021,Collegeboard*Profile 305-8299793 NY,25.00
01/15/2021,Amazon Prime*564DX8W23 Amzn.com/bill WA,12.99
01/17/2021,RPI ENROLLMENT STRIPE.COM NY,500.00
01/19/2021,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,12.00
01/21/2021,COLLEGEBOARD*SAT ONLN. 212-7137789 NY,12.00
02/03/2021,AP Exam TotalReg 800-9742187 CO,315.00
02/05/2021,AP Exam TotalReg 800-9742187 CO,105.00
07/22/2019,AUTOMATIC PAYMENT - THANK YOU,-1254.45
06/25/2019,AMZN Mktp US*MH02P0L11 Amzn.com/bill WA,48.91
06/24/2019,CAFE 1585     18209155 NEW YORK NY,11.02
06/26/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/27/2019,H MART HARTSDALE HARTSDALE NY,58.82
06/27/2019,PANDA PAVILLION III IN GREENWICH CT,12.80
06/27/2019,SHAKE SHACK - 1210 HARTSDALE NY,26.36
06/29/2019,MCDONALD'S F748 GREENWICH CT,5.52
06/29/2019,DUNKIN' MOBILE AP 800-447-0013 MA,15.00
06/30/2019,9640 AMC ONLINE 888-440-4262 KS,20.58
06/30/2019,COSTCO WHSE #0326 PORT CHESTER NY,11.32
07/04/2019,MCDONALD'S F748 GREENWICH CT,3.98
07/04/2019,MCDONALD'S F748 GREENWICH CT,1.06
07/04/2019,MCDONALD'S F748 GREENWICH CT,5.52
07/06/2019,SHOPRITE NORWALK S1 NORWALK CT,41.99
07/06/2019,TRADER JOE'S #522  QPS DARIEN CT,36.60
07/05/2019,TMOBILE POSTPAID WEB 800-937-8997 WA,210.86
07/06/2019,RYE PERIODONTICS AND IMPL RYE BROOK NY,322.60
07/07/2019,COSTCO WHSE #0326 PORT CHESTER NY,.63
07/06/2019,AMERICAN STEAKHOUSE - NORWALK CT,44.64
07/07/2019,TANDORI TASTE OF INDIA WHITE PLAINS NY,55.66
07/08/2019,TRADER JOE'S #533  QPS HARTSDALE NY,5.98
07/08/2019,DUNKIN #345300 Q35 WHITE PLAINS NY,.35
07/09/2019,POLLO A LA BRASA MISTI RE PORT CHESTER NY,26.59
07/08/2019,H MART HARTSDALE HARTSDALE NY,64.06
07/09/2019,AMZN Mktp US*MH95478Z1 Amzn.com/bill WA,12.75
07/09/2019,HOMEGOODS #0507 PORT CHESTER NY,7.98
07/10/2019,IKEA NEW HAVEN NEW HAVEN CT,236.26
07/10/2019,IKEA NEW HAVEN NEW HAVEN CT,15.92
07/11/2019,SQ *LAVENDER BY THE BAY East Marion NY,15.21
07/10/2019,Lao Si Chuan Milford CT,79.75
07/11/2019,THE BUFFET COLLEGE POINT NY,84.90
07/11/2019,SQ *LAVENDER BY THE BAY East Marion NY,16.29
07/11/2019,COSTCO WHSE #0785 RIVERHEAD NY,4.66
07/12/2019,CT NATURAL GAS 860-524-8361 CT,36.96
07/11/2019,COLUMBIA SPORTSWEAR 439 RIVERHEAD NY,48.31
07/14/2019,TRADER JOE'S #533  QPS HARTSDALE NY,5.99
07/14/2019,H MART HARTSDALE HARTSDALE NY,20.43
07/14/2019,RED LOBSTER 0351 SCARSDALE NY,57.37
07/15/2019,GOLD CITY SUPERMARKET FLUSHING NY,47.88
07/16/2019,VIOC GE6605 PORTCHESTER NY,126.69
07/16/2019,HOTELSCOM8152730152284 HOTELS.COM WA,166.64
07/17/2019,MCDONALD'S F13889 FRANKFORT NY,10.28
07/17/2019,MCDONALD'S F13889 FRANKFORT NY,7.66
07/18/2019,MCDONALD'S F12227 MODENA NY,11.61
07/15/2019,61492 - FLUSHING COMMONS FLUSHING NY,4.00
07/20/2019,MCDONALD'S F748 GREENWICH CT,1.06
07/19/2019,TRADER JOE'S #522  QPS DARIEN CT,17.91
07/19/2019,AMERICAN STEAKHOUSE - NORWALK CT,44.64
07/21/2019,KFC K485004 PORT CHESTER NY,16.10
07/21/2019,COSTCO WHSE #0326 PORT CHESTER NY,.63
07/21/2019,DUNKIN' MOBILE AP 800-447-0013 MA,25.00
07/23/2019,H MART HARTSDALE HARTSDALE NY,73.53
09/13/2019,AUTOMATIC PAYMENT - THANK YOU,-81.28
08/20/2019,MCDONALD'S F21770 CREAM RIDGE NJ,9.48
08/20/2019,BURGER KING 4NJ54 MILLTOWN NJ,2.12
08/20/2019,SIX FLAGS GREAT ADVENTUR JACKSON NJ,13.85
09/27/2022,AUTOMATIC PAYMENT - THANK YOU,-1333.30
09/13/2022,AMZN Mktp US*1F20N19V0 Amzn.com/bill WA,43.83
09/14/2022,TMOBILE*WEB UPGRADE 800-937-8997 WA,63.50
09/14/2022,TMOBILE*WEB UPGRADE 800-937-8997 WA,63.50
09/18/2022,McDonald's 748 GREENWICH CT,1.49
09/26/2022,TMOBILE*AUTO PAY 800-937-8997 WA,176.93
09/26/2022,TMOBILE*WEB UPGRADE 800-937-8997 WA,63.50
04/13/2018,AUTOMATIC PAYMENT - THANK YOU,-324.53
03/17/2018,KOHL'S #0398 NORWALK CT,8.68
03/17/2018,SHOPRITE NORWALK S1 NORWALK CT,65.25
03/18/2018,TRADER JOE'S #533  QPS HARTSDALE NY,34.49
03/24/2018,MCDONALD'S F748 GREENWICH CT,4.25
03/24/2018,MCDONALD'S F748 GREENWICH CT,4.14
03/29/2018,MCDONALD'S F748 GREENWICH CT,5.20
03/31/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,13.21
03/31/2018,MCDONALD'S F748 GREENWICH CT,4.25
03/31/2018,MCDONALD'S F748 GREENWICH CT,4.14
04/01/2018,TRADER JOE'S #522  QPS DARIEN CT,35.78
04/07/2018,TRADER JOE'S #533  QPS HARTSDALE NY,28.39
04/06/2018,KOHL'S #0397 PORT CHESTER NY,4.76
04/11/2018,VERIZON*RECURRING PAY 800-VERIZON FL,73.94
04/11/2018,MCDONALD'S F12314 WARNERS NY,3.12
04/14/2018,KFC K485004 PORT CHESTER NY,18.34
04/13/2018,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
04/14/2018,MCDONALD'S F12313 PORT BYRON NY,8.56
04/14/2018,COLE HAAN-WOODBURY CENTRAL VALLE NY,104.09
08/13/2019,AUTOMATIC PAYMENT - THANK YOU,-149.48
07/16/2019,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
07/15/2019,MARRIOTT ORLANDO WC F& 866-435-7627 FL,6.28
07/20/2019,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
08/11/2019,EZPASS PREPAID TOLL 800-333-8655 NY,25.00
10/22/2018,AUTOMATIC PAYMENT - THANK YOU,-3029.71
09/27/2018,SQ *GREENWICH HIGH GREENWICH CT,35.00
09/30/2018,COSTCO WHSE #0326 PORT CHESTER NY,92.81
10/02/2018,METRO-NORTH-MOBILE TICKE 877-690-5114 NY,41.00
10/05/2018,MCDONALD'S F748 GREENWICH CT,1.06
10/05/2018,MCDONALD'S F748 GREENWICH CT,5.41
10/07/2018,MCDONALD'S F748 GREENWICH CT,1.06
10/07/2018,MCDONALD'S F748 GREENWICH CT,7.54
10/08/2018,4036 Dominos Pizza 203-661-2202 CT,12.74
10/08/2018,MCDONALD'S F6971 NEW YORK NY,1.09
10/09/2018,FIVE GUYS-NY #1499 NEWYORK NY,6.85
10/10/2018,MINAR NEW YORK NY,10.34
10/11/2018,CAFE 1585     18209155 NEW YORK NY,3.84
10/12/2018,CONNECTICUT NATURAL U0A 860-5248361 CT,34.85
10/11/2018,MTA MVM*A016-49 ST NEW YORK NY,3.00
10/13/2018,RYE PERIODONTICS AND IMPL RYE BROOK NY,131.00
10/13/2018,MCDONALD'S F748 GREENWICH CT,1.06
10/11/2018,MCDONALD'S F6971 NEW YORK NY,6.41
10/13/2018,TRADER JOE'S #533  QPS HARTSDALE NY,2.99
10/12/2018,MCDONALD'S F748 GREENWICH CT,6.16
10/13/2018,H MART HARTSDALE HARTSDALE NY,4.97
10/13/2018,MCDONALD'S F748 GREENWICH CT,6.48
10/13/2018,HSD FOOD COURT HARTSDALE NY,11.27
10/17/2018,3603 Dominos Pizza 914-967-5070 NY,12.86
10/19/2018,MONOPRICE 402-935-7733 CA,12.76
10/20/2018,MCDONALD'S F748 GREENWICH CT,1.06
10/21/2018,TANDORI TASTE OF INDIA WHITE PLAINS NY,37.11
10/22/2018,PANDA PAVILLION III IN GREENWICH CT,25.55
10/23/2018,MINAR NEW YORK NY,10.34
06/13/2018,AUTOMATIC PAYMENT - THANK YOU,-496.20
05/16/2018,MCDONALD'S F748 GREENWICH CT,5.41
05/19/2018,SHOPRITE CMMERCE ST S1 STAMFORD CT,50.41
05/18/2018,SQ *BIBBLE & SIP New York NY,15.24
05/19/2018,MCDONALD'S F748 GREENWICH CT,5.41
05/20/2018,MCDONALD'S F748 GREENWICH CT,6.48
05/23/2018,MCDONALD'S F748 GREENWICH CT,5.41
05/26/2018,KOHL'S #0397 PORT CHESTER NY,17.35
05/26/2018,MCDONALD'S F748 GREENWICH CT,5.41
05/27/2018,TRADER JOE'S #533  QPS HARTSDALE NY,17.35
05/26/2018,MCDONALD'S F3240 PORT CHESTER NY,1.07
05/27/2018,H MART HARTSDALE HARTSDALE NY,13.44
05/30/2018,MCDONALD'S F748 GREENWICH CT,5.41
06/01/2018,SQ *BIBBLE & SIP New York NY,15.24
06/03/2018,TRADER JOE'S #533  QPS HARTSDALE NY,29.15
06/03/2018,H MART HARTSDALE HARTSDALE NY,48.20
06/11/2018,VERIZON*RECURRING PAY 800-VERIZON FL,73.95
04/22/2022,AUTOMATIC PAYMENT - THANK YOU,-213.23
04/09/2022,PHR*GandelmanCardiologyAs 203-8695515 CT,43.41
04/09/2022,PAYPAL *EBAY US 402-935-7733 CA,42.52
04/16/2022,SHOPRITE CMMERCE ST S1 STAMFORD CT,18.37
04/16/2022,PREMIUM PARKING P2222 NORWALK CT,1.00
04/16/2022,STEW LEONARDS-NORWALK GRO NORWALK CT,142.18
04/15/2022,TRADER JOE'S #529 QPS STAMFORD CT,28.42
12/22/2019,AUTOMATIC PAYMENT - THANK YOU,-1960.17
11/24/2019,MCDONALD'S F748 203-629-9068 CT,1.07
11/27/2019,MCDONALD'S F748 GREENWICH CT,5.57
11/27/2019,MCDONALD'S F748 GREENWICH CT,1.07
11/30/2019,TRADER JOE'S #533  QPS HARTSDALE NY,30.23
11/30/2019,FANTASY CUISINE CO 914-358-9046 NY,47.08
11/30/2019,H MART - HARTSDALE HARTSDALE NY,77.84
12/01/2019,Amazon MP3*OE3JG89I3 888-802-3080 WA,1.05
12/01/2019,SHOPRITE NORWALK S1 NORWALK CT,61.44
12/01/2019,AMERICAN STEAKHOUSE - NORWALK CT,45.05
12/03/2019,WESTCHESTER AVE DENTAL PORT CHESTER NY,213.00
12/04/2019,MCDONALD'S F748 GREENWICH CT,5.57
12/04/2019,MCDONALD'S F748 GREENWICH CT,3.75
12/07/2019,COSTCO WHSE #0326 PORT CHESTER NY,1.08
12/06/2019,ZWILLING JA HENCKELS LLC PLEASANTVILLE NY,86.68
12/08/2019,TRADER JOE'S #533  QPS HARTSDALE NY,11.36
12/08/2019,H MART - HARTSDALE HARTSDALE NY,31.49
12/06/2019,ZWILLING JA HENCKELS LLC PLEASANTVILLE NY,133.25
12/08/2019,SGD DUBU HARTSDALE NY,61.23
12/10/2019,SHOPRITE CMMERCE ST S1 STAMFORD CT,49.08
12/09/2019,Jeunesse 321-2757171 FL,449.74
12/10/2019,MCDONALD'S F3345 RIVERSIDE CT,5.46
12/10/2019,Kumo Sushi & Hibachi Stamford CT,29.75
12/11/2019,GOOGLE *Google Store g.co/helppay# CA,4.24
12/13/2019,OPTUMRX 800-562-6223 CA,20.00
12/12/2019,CT NATURAL GAS 860-524-8361 CT,128.88
